age,salary,credit_score,employment_months,existing_emi,loan_amount,default_history,missed_payments,bank_balance,loan_purpose,approved
23,95563,628,117,1947,119390,0,1,22686,Personal,1
48,148506,630,103,7698,758683,0,2,377516,Home,1
37,72491,827,218,1217,29892,0,1,117401,Personal,1
22,188452,643,217,4908,864154,0,1,679411,Business,1
28,96028,734,165,2391,262448,0,1,23070,Business,1
44,175846,742,240,6336,702985,0,1,403556,Business,1
50,43412,754,61,1847,44056,0,1,31027,Personal,1
64,142797,758,40,8907,489984,0,1,279612,Business,1
65,149259,674,157,1120,151936,1,5,799888,Medical,1
45,105435,666,36,3396,87288,0,0,393068,Medical,1
28,47003,656,62,1305,258778,1,6,57529,Business,0
18,93751,677,85,5116,170364,0,1,161208,Personal,1
43,146169,660,89,3317,298330,0,1,366489,Car,1
30,83086,649,177,3380,76639,1,2,212290,Education,0
35,61695,563,99,924,195179,1,5,149019,Business,0
33,97954,710,71,4881,71762,0,3,362271,Personal,1
38,156164,615,25,5150,753421,0,0,653331,Business,0
53,40406,674,23,578,223783,0,0,206094,Home,0
42,68898,625,72,3257,351326,1,4,321437,Home,0
38,123438,582,67,6346,867991,1,1,395614,Home,0
28,61729,602,39,2163,180238,0,0,182844,Business,0
20,108040,733,268,2023,100445,0,0,172112,Education,1
34,216610,558,99,10717,303041,0,1,91139,Personal,0
39,228134,651,78,10958,1001564,0,1,685106,Business,1
61,129558,701,40,4728,83300,0,1,579082,Medical,1
42,102741,629,50,3150,167163,0,0,318239,Personal,0
52,174744,618,49,7976,618838,1,3,117409,Business,0
34,99745,633,32,742,417487,0,1,279147,Business,1
26,119249,612,48,2377,350272,0,2,479318,Car,1
28,22995,567,124,521,56265,0,2,94959,Car,0
31,177417,651,189,1674,155370,0,1,339322,Personal,1
65,77329,526,19,1335,269087,0,0,75053,Business,0
30,171879,649,123,8429,150182,0,2,194058,Personal,1
50,61983,721,184,1996,434263,0,1,111065,Home,1
29,85555,659,20,2653,507821,0,0,160614,Home,1
51,79209,690,100,124,211447,0,1,294391,Car,1
45,60921,661,63,2436,332949,0,1,38509,Home,0
38,100140,635,16,4166,92957,0,0,24820,Personal,0
40,165632,646,80,2910,158533,1,1,137506,Personal,0
32,35532,735,254,1972,263120,0,2,12993,Home,0
45,91629,708,24,1544,455664,0,1,148464,Home,1
35,129432,696,38,3496,107864,0,1,179037,Personal,1
25,103986,751,106,2495,694467,0,2,154149,Home,1
25,91292,727,122,1822,221320,0,2,241236,Car,1
42,132466,619,151,4516,1191106,0,1,500256,Home,1
59,66818,612,241,1022,289729,1,4,139601,Business,0
42,42801,703,82,1147,223988,1,4,4702,Home,0
39,181591,682,150,9182,2118882,0,4,786421,Home,1
43,135329,731,35,2943,148753,0,0,256690,Car,1
56,35637,663,59,226,23971,1,5,81438,Personal,0
43,54435,691,76,881,134361,0,0,197405,Car,1
35,99714,749,173,3418,147404,0,0,384840,Personal,1
53,107421,574,131,3218,375160,1,3,151328,Car,0
45,39194,635,63,1791,215790,0,0,95115,Business,0
58,168984,735,170,5850,740228,0,0,935426,Business,1
42,48543,657,71,1549,67148,1,3,159646,Car,0
25,39741,679,20,1575,252953,1,0,124274,Home,0
24,78988,625,17,4544,215785,0,3,150084,Car,0
60,87994,692,41,771,127234,0,0,72856,Personal,1
61,150094,660,314,6779,208259,0,1,278747,Personal,1
38,137779,631,100,2083,106146,0,2,627954,Education,1
35,150711,704,44,8863,770925,1,2,575417,Business,0
58,96126,616,36,3877,218367,0,1,125323,Business,1
27,106187,697,61,2953,280735,0,1,202922,Car,1
29,106775,689,206,4058,80525,0,0,219347,Medical,1
48,91004,681,69,5630,79012,1,3,316518,Medical,0
35,63154,721,215,1507,406984,0,1,36570,Home,1
40,26858,819,119,1805,18667,0,2,121021,Personal,0
38,173395,580,76,4672,1055086,1,3,748266,Home,0
44,55675,607,101,1810,67669,0,3,143434,Education,0
57,106088,641,83,1058,538887,0,1,242414,Home,1
41,103249,622,90,2999,413189,1,1,167413,Business,0
48,104190,568,135,6064,82022,0,0,329232,Personal,0
18,79696,595,23,1763,526034,0,3,99644,Business,0
39,126416,769,15,1837,104715,0,0,410915,Personal,1
30,171922,594,63,9958,112628,0,0,748537,Personal,0
25,137048,712,107,8397,114247,0,1,386186,Personal,1
29,137451,624,97,2067,101437,1,2,272129,Personal,0
36,43648,671,119,1204,163450,0,1,103726,Car,0
51,181436,631,131,5204,952529,0,0,25629,Home,1
24,118259,620,131,504,789279,0,0,351650,Home,1
40,152137,641,29,5277,207028,0,1,578897,Personal,1
34,91577,752,75,5232,127134,0,0,293602,Personal,0
36,223938,652,82,10812,1089099,0,0,740834,Home,1
52,123826,655,179,1749,721530,0,0,302817,Home,1
46,64472,681,12,2007,89669,0,2,55598,Education,0
56,47880,770,194,1525,39517,0,0,12358,Personal,1
38,35011,642,28,1359,219263,0,0,69990,Business,0
32,132498,622,72,2834,412273,0,2,320136,Business,1
37,89707,619,98,1103,275927,0,1,269267,Car,1
43,150795,682,143,6845,679803,0,2,510268,Home,1
42,158158,590,103,1352,804275,0,2,112383,Home,1
27,85954,579,139,1865,80868,1,2,84640,Personal,0
41,46019,627,60,304,68593,0,0,127444,Personal,1
43,180764,673,158,7380,972432,0,3,689669,Home,1
65,87091,592,78,3471,81418,0,0,220440,Personal,0
63,148888,739,43,1789,1344263,0,0,335698,Home,1
30,71298,708,40,2737,522405,0,1,156530,Home,0
37,45692,675,97,769,103142,0,1,198051,Home,1
22,115867,725,161,1531,874756,0,0,52042,Home,1
33,99515,664,80,3644,514249,0,1,53682,Home,1
44,118269,779,56,807,148024,0,0,410354,Medical,1
54,64608,586,89,1344,270178,1,2,134454,Home,0
31,82384,538,108,3522,102222,0,1,324706,Personal,0
32,189647,568,124,3820,1352306,1,2,75689,Home,0
18,183527,678,41,9460,742217,0,1,557533,Business,1
38,98201,714,12,4401,85485,0,1,201632,Personal,1
27,39664,727,70,1057,45335,0,1,93856,Personal,1
34,84319,788,204,2021,296824,0,1,62930,Business,1
29,116704,624,78,4383,496598,0,1,169229,Business,1
39,153648,676,180,3864,733423,0,1,146695,Home,1
19,95746,503,89,1353,84356,1,5,257985,Personal,0
22,121965,587,93,5945,969502,1,5,250426,Business,0
65,83926,725,99,1702,391719,0,1,481540,Business,1
25,69202,638,53,2254,320385,0,1,137509,Business,0
27,161214,661,59,3762,166196,0,1,101596,Personal,1
62,233525,617,144,9459,1112220,0,1,1012367,Home,1
65,186594,617,31,8642,167203,0,1,445197,Personal,0
26,98433,633,60,2519,139815,1,6,297356,Personal,0
36,132792,759,42,4614,127041,0,1,247769,Education,1
44,43087,766,102,742,49047,0,1,201880,Personal,1
61,88482,617,75,144,78753,1,1,397645,Personal,0
28,72503,732,68,995,228474,0,2,159213,Business,1
37,132070,753,40,7043,242916,0,0,79943,Personal,1
49,77257,637,79,3012,143455,0,1,101238,Car,0
45,94789,552,102,4601,284030,0,0,481049,Business,0
35,110189,751,29,1535,131282,0,0,411806,Personal,1
38,40989,575,50,2145,247258,1,6,88493,Home,0
24,94251,551,42,2253,659118,1,1,124092,Home,0
37,56260,693,89,2982,298259,0,1,56138,Home,0
37,94082,621,134,4671,425194,0,2,62146,Home,0
43,148148,751,70,4753,189110,0,0,243078,Personal,1
33,78933,575,103,2044,106631,1,5,258353,Personal,0
46,116900,629,21,1040,464676,0,0,67255,Business,1
52,81900,651,62,1513,57737,0,1,418291,Personal,1
42,39271,743,35,2109,59254,0,0,157061,Car,0
44,104034,606,84,2717,124853,0,0,452937,Personal,0
41,70496,641,63,417,452919,1,1,239908,Home,0
40,56666,440,41,1987,263830,1,2,269477,Business,0
31,47822,659,69,173,74935,0,2,159464,Personal,1
44,112579,501,105,2758,697227,0,1,74185,Home,0
39,182471,751,143,7648,278158,0,0,625902,Personal,1
65,193004,670,105,6222,592437,0,2,1151599,Car,1
59,73940,775,50,3564,570374,0,0,449982,Home,1
45,58106,619,14,3863,142275,0,2,52439,Car,0
31,133706,668,81,1539,106428,0,1,438697,Personal,1
27,119390,570,110,8326,326188,0,2,48718,Car,0
54,113578,651,75,5442,130372,0,3,520632,Medical,0
43,168799,678,50,4249,531464,0,2,128455,Business,1
46,158246,643,228,4256,249159,0,1,279235,Personal,1
19,100376,713,75,5846,165062,0,1,79471,Personal,1
51,97601,589,225,2496,86995,0,0,411814,Personal,0
45,78390,803,129,1627,74491,0,0,161937,Personal,1
27,62611,685,55,2991,219083,0,0,130087,Business,0
34,190614,563,39,9067,257472,1,4,261031,Education,0
43,116991,658,65,3959,799577,0,0,45748,Home,1
41,96843,618,52,3818,112019,0,1,302502,Personal,0
36,105865,696,78,4715,370460,0,0,494723,Business,1
39,126615,542,171,3425,272172,1,3,502611,Car,0
37,91583,654,115,4126,720503,0,0,316155,Home,1
42,64366,789,244,2431,146632,0,0,117205,Car,1
58,40743,683,167,1887,46166,0,1,149733,Personal,0
18,78326,529,132,1015,181973,1,2,128196,Car,0
37,66994,672,109,2746,33605,0,1,64683,Education,0
42,126033,644,40,4900,108070,0,1,575604,Personal,0
44,110235,715,91,2736,524683,0,0,441306,Home,1
36,192629,691,51,3793,851170,0,3,345337,Home,1
19,149504,687,105,3144,934170,1,2,516680,Home,1
44,71509,627,99,718,50566,0,0,290188,Medical,1
61,139299,528,58,9698,144422,1,4,703251,Personal,0
22,159378,675,110,3252,207682,0,1,196158,Personal,1
50,114759,584,66,2640,166841,1,5,378803,Personal,0
36,114478,719,92,3687,713676,1,4,117718,Home,1
39,90711,590,75,3983,97071,0,0,117581,Personal,0
27,61555,850,201,2169,226128,0,1,233415,Business,1
36,45438,582,167,2806,37209,1,3,175715,Personal,0
56,67305,679,94,1833,233837,0,1,156344,Business,1
47,56126,518,144,1174,346853,0,0,83365,Home,0
61,55438,794,87,1503,32932,0,2,307136,Medical,1
54,62388,594,51,965,119169,0,2,159163,Personal,0
45,65747,681,238,195,165190,1,4,248410,Car,1
61,25987,696,11,435,112867,0,2,138716,Home,0
45,74207,717,24,3163,508522,0,2,66073,Business,0
50,75826,697,121,3723,267507,0,1,128471,Home,1
36,75585,649,14,3615,107756,0,0,106577,Education,0
41,157532,721,63,6248,566244,0,3,314308,Business,1
32,75286,665,96,2121,135532,0,1,21794,Car,0
52,141620,542,42,3735,120186,1,2,343998,Personal,0
26,50756,596,46,649,161728,0,1,152209,Business,0
49,130381,735,192,4203,198492,0,1,444907,Personal,1
38,156741,716,26,8381,290664,0,1,59279,Personal,1
54,37230,546,86,1796,35503,1,4,194951,Education,0
49,130611,627,61,1875,651588,0,0,435433,Business,1
62,92194,584,51,4867,564348,0,0,511102,Home,0
49,149606,652,67,1737,603165,0,2,128330,Business,1
21,130753,638,74,2680,85301,0,1,446165,Medical,0
39,155826,666,30,6759,511996,0,4,137515,Business,1
26,156660,729,58,4659,1254134,0,1,216525,Home,1
34,89835,662,99,2616,100452,0,2,11970,Medical,1
58,97051,622,20,4847,801437,0,0,96370,Home,0
48,40488,709,38,466,66272,1,3,178941,Personal,0
32,99285,677,123,3008,201254,0,3,218658,Personal,1
28,168659,607,11,7479,209810,0,1,250125,Personal,0
40,169526,600,76,5712,253376,0,0,36807,Personal,1
25,105778,649,38,1772,40865,0,4,199653,Personal,1
32,197963,607,54,9334,201375,1,4,464939,Medical,0
44,122976,584,141,2592,103823,0,3,479845,Education,1
54,66337,717,84,3769,61977,0,2,318548,Personal,0
47,61071,766,249,1256,278521,0,2,167072,Home,1
18,169893,785,39,3298,220755,0,0,590345,Personal,1
44,37410,653,88,1180,118056,0,0,57213,Car,0
41,155255,690,58,4594,732615,1,3,498261,Home,1
45,121640,618,147,6454,842323,1,4,279646,Home,0
59,71074,651,24,2220,178285,0,0,423485,Car,0
18,229859,597,88,5320,263682,0,1,440465,Personal,1
33,107178,732,68,4589,531056,0,0,161583,Business,1
47,86040,643,120,1052,81006,0,2,134468,Personal,1
21,97341,725,154,4562,291665,0,0,15036,Car,1
58,129623,716,47,1374,500955,0,2,378075,Home,1
44,179211,680,66,20,1307220,0,1,491346,Home,1
50,55348,683,174,602,52102,1,2,274945,Education,0
33,103261,595,68,5462,100689,0,1,230770,Personal,0
50,117320,592,25,4805,122621,0,2,162670,Personal,0
53,57960,523,235,843,355861,1,3,273942,Home,0
43,121363,603,45,2938,1013141,1,3,331867,Home,0
43,81225,600,118,543,635683,1,9,83445,Home,0
43,63624,716,70,3633,390768,0,0,176520,Home,1
30,171520,719,20,3617,600139,0,0,29582,Business,1
38,153833,653,128,5409,1091123,0,0,353820,Business,1
38,100788,690,31,3047,730325,0,2,241374,Home,1
45,68934,588,67,1419,97468,1,5,98698,Personal,0
52,100019,639,88,5164,131357,0,0,114913,Personal,0
27,31892,551,24,1132,25199,0,0,55971,Personal,0
38,172206,642,92,2005,1191450,0,1,268627,Home,1
58,59617,647,139,3446,346045,0,1,195255,Home,0
31,90193,572,116,949,105189,1,0,268536,Medical,0
30,109491,706,40,1574,533191,0,1,158280,Business,1
42,201822,611,45,10851,580768,0,1,283590,Car,0
50,129073,519,79,4130,179420,0,0,512138,Personal,0
40,132570,595,129,2553,829658,0,3,311870,Business,1
56,175312,701,119,10911,1031830,0,1,177199,Home,1
50,92418,544,63,4391,100371,1,4,258009,Personal,0
50,121931,667,77,2000,56881,0,0,624228,Personal,1
47,89179,598,44,5498,441394,1,3,358134,Business,0
65,96980,606,49,4791,337568,0,1,104414,Business,0
38,114645,599,21,5109,98860,0,0,301904,Education,0
18,87767,621,97,6210,105998,0,0,273366,Personal,0
59,107761,616,62,790,180068,0,2,365210,Personal,1
35,103803,717,21,1655,285452,0,1,483847,Business,1
41,115786,706,97,1289,82298,0,2,94188,Medical,1
56,74104,717,12,626,423247,0,2,235282,Home,1
21,64608,660,53,2204,47776,0,1,105135,Education,0
25,66611,648,22,724,316328,1,5,151252,Business,0
21,42319,669,243,1033,41173,0,0,49207,Personal,0
30,100075,692,189,2923,107320,0,1,24569,Medical,1
45,85192,659,59,2906,101914,1,3,56195,Personal,0
46,64250,652,78,1896,209746,0,3,182945,Business,0
43,68358,732,406,1679,203557,0,1,120955,Business,1
23,87179,657,183,1060,548661,0,2,195631,Home,1
18,122178,672,94,2198,1028561,0,2,372427,Home,1
41,63135,731,99,574,228733,1,6,303420,Business,0
34,101760,793,193,4384,118968,0,0,163469,Car,1
46,114235,608,27,3653,440424,0,2,530899,Business,0
48,96353,641,172,1080,107536,0,2,174130,Personal,1
42,139158,720,71,4695,204424,0,0,460559,Personal,1
49,179418,689,1,6079,692077,0,1,190250,Car,1
43,44143,641,247,746,313113,0,1,95906,Home,1
46,187701,821,184,7388,786478,0,1,884217,Business,1
32,72899,720,142,2250,64663,1,3,311500,Education,1
38,106205,620,64,1568,507936,0,1,442000,Business,1
42,46286,603,28,884,229530,0,0,8349,Business,0
50,72923,677,46,3008,264038,0,1,363206,Business,0
35,142016,687,172,9624,228365,0,1,137920,Car,1
46,130535,645,12,476,261847,0,1,345829,Car,1
37,103618,664,160,3942,574949,0,0,65158,Business,0
39,55737,686,33,1667,339175,1,0,86539,Home,0
50,115624,652,61,2243,78937,1,5,45640,Education,0
18,209753,661,41,4796,193466,0,2,395164,Personal,1
24,91697,589,118,3281,194135,1,4,322070,Car,0
22,102875,746,120,2260,116830,0,1,166428,Personal,1
18,156099,595,164,6854,204919,0,1,379402,Personal,0
32,56479,758,94,1207,206888,0,0,68963,Business,1
49,176478,745,238,6972,730458,0,0,195404,Home,1
37,92038,634,121,1650,295952,0,0,350366,Car,1
42,32715,761,102,1090,229357,0,3,161254,Business,1
53,108063,683,58,3176,160037,1,5,50732,Personal,0
56,139465,617,78,2984,729122,0,2,359355,Home,1
39,125749,696,75,3024,338249,0,0,574706,Home,1
56,197061,622,42,8381,125415,0,1,285864,Personal,1
41,164569,634,18,5314,305488,0,3,321506,Car,1
30,135413,634,26,6277,190281,0,0,100003,Personal,0
33,115971,692,16,3233,980195,0,0,345773,Home,1
22,67428,678,33,2576,125088,0,1,77968,Personal,1
29,142284,735,209,4628,550539,0,1,311175,Business,1
36,142453,766,195,3995,190478,0,2,271561,Personal,1
50,68860,693,160,2484,182388,0,2,330927,Car,1
61,32154,738,60,351,34565,0,2,157150,Education,1
23,136184,671,55,4479,130720,0,1,58345,Personal,1
45,105394,619,160,240,158214,0,1,37097,Car,1
28,161354,663,110,7665,1250087,0,0,63327,Home,1
46,178768,683,33,5268,173523,1,3,555958,Personal,0
38,84883,766,55,3742,112695,0,1,401899,Personal,1
18,73888,603,40,1391,108572,1,3,36165,Personal,0
51,79738,652,87,4337,633482,0,1,133639,Home,0
33,132735,674,64,939,172717,0,1,553561,Medical,1
34,94055,712,91,2258,575558,0,0,281342,Home,1
27,61915,645,48,3491,167172,0,4,116926,Business,0
32,65781,628,22,1878,306984,0,1,179985,Home,0
45,55859,600,54,1271,51077,1,1,182628,Personal,0
38,184093,620,33,2903,183997,1,4,273683,Personal,0
44,196397,811,76,6226,1370495,0,2,321243,Home,1
44,77428,650,23,1949,104407,0,0,248507,Personal,1
56,143478,769,106,1618,518541,0,0,270312,Business,1
36,55996,681,159,2096,451696,0,1,243142,Home,1
22,110186,628,161,5936,484133,0,0,67876,Home,0
53,134148,763,61,664,182830,0,2,319128,Personal,1
36,151453,732,42,2426,838653,0,0,168741,Home,1
53,114224,658,39,2056,348331,0,3,312415,Business,1
45,69518,584,51,3394,85437,0,2,228028,Personal,0
38,168544,684,107,7633,1053806,0,1,224936,Home,1
44,52507,747,44,1458,64095,0,1,136954,Personal,1
63,127177,735,166,2773,490274,0,2,470345,Business,1
65,214212,675,147,5779,547320,1,3,602496,Car,1
41,74400,729,94,2171,68802,0,3,89907,Personal,1
42,130349,622,158,4423,208045,0,0,466943,Personal,1
53,114538,716,94,2756,708545,0,2,103871,Home,1
30,133316,687,48,6197,215467,0,2,100255,Personal,0
44,123306,669,250,1041,141060,0,1,379788,Personal,1
40,137495,815,46,8361,219473,0,0,303529,Personal,1
44,104445,685,41,1764,554984,0,2,270114,Home,1
30,119236,554,117,2158,187221,0,0,511367,Personal,0
21,149700,720,31,1908,723722,0,0,434565,Home,1
18,206918,849,66,5864,308881,0,0,691033,Personal,1
27,133695,590,189,1167,150104,1,8,253785,Personal,1
34,80094,680,39,1785,196155,1,7,12336,Car,0
36,98661,657,24,4357,635145,0,1,190342,Home,0
63,120232,703,100,2098,133999,0,0,428009,Education,1
53,95178,632,69,4506,569705,0,2,427783,Home,0
28,47540,685,61,1639,39220,0,0,41824,Personal,0
44,88756,574,70,2405,116929,1,2,290595,Education,0
35,92807,741,98,7107,274405,0,1,41623,Car,1
37,59734,641,147,2356,49923,0,1,192277,Education,1
42,74566,810,43,1303,62961,0,0,58973,Education,1
47,25957,745,148,847,38118,0,1,17935,Personal,0
36,86304,631,99,3573,547107,0,2,386331,Home,0
53,105318,735,97,2919,685899,0,1,452307,Home,1
26,79241,744,25,1906,107466,0,1,136235,Personal,1
40,90656,590,19,1632,684463,0,2,354831,Home,0
65,210040,604,87,5555,477137,0,0,171867,Car,1
43,126716,626,37,5945,630322,0,0,557897,Home,1
57,108809,514,102,2915,752516,0,1,529060,Home,0
41,115672,686,23,4145,116908,0,3,446288,Personal,1
47,95039,743,91,2930,475669,0,0,458879,Home,1
39,91515,687,41,2569,171559,0,0,54091,Personal,1
38,81034,716,105,1428,105269,0,0,29938,Car,1
31,64693,682,40,3723,341201,0,1,16126,Business,0
45,152598,688,9,595,397115,0,1,263603,Car,1
30,61696,517,101,2370,103569,1,6,174878,Personal,0
48,131111,718,47,2281,321824,0,0,159216,Car,1
53,29272,676,71,1012,112010,0,0,157808,Car,0
44,80856,659,61,2241,431366,1,6,350619,Home,0
37,119085,617,84,2965,144708,0,2,265071,Personal,1
45,135133,597,149,4187,558005,0,2,235795,Home,0
36,50219,661,122,1947,24045,0,1,202889,Medical,1
51,88721,683,37,2587,379178,0,2,329688,Car,1
18,144625,597,47,3791,1093447,0,0,278891,Home,0
36,50599,744,31,1546,207725,0,2,76935,Home,1
18,59844,610,19,1893,250434,0,1,32185,Home,0
22,70186,664,158,2342,67331,0,2,239747,Medical,0
56,125535,716,138,6561,684630,1,3,726755,Business,0
51,113042,595,90,3772,799958,0,1,560724,Home,1
31,117869,517,46,1313,188207,1,6,518571,Personal,0
22,53163,638,77,2282,89287,0,0,104180,Personal,0
18,39487,671,81,1320,57325,0,2,17175,Personal,0
33,183669,730,42,892,812823,0,4,301639,Home,1
65,71259,645,142,4339,439152,0,2,19239,Home,0
45,38208,687,50,1470,245887,0,1,14901,Home,0
